entry_id, crystal_growth_procedure
"1BWI","A SOLUTION CONTAINING 40 MG/ML OF LYSOZYME (SIGMA L-6876, BATCH NUMBER, LOT 65H7025, IE A DIFFERENT SIGMA SAMPLE TO THE EXPERIMENTS DESCRIBED ABOVE) IN 10 MM SODIUM CITRATE BUFFER PH 4.7 WAS MIXED IN AN EPPENDORF TUBE WITH EQUAL VOLUMES OF 12 % SODIUM CHLORIDE (BDH). THE MIXTURE WAS FILTERED THROUGH A 0.22 UM FILTER AND 8 UL DROPS WERE MANUALLY DISPENSED UNDER PARAFFIN OIL USING A GILSON MICRO PIPPETTE. OVER 20 IDENTICAL DROPS WERE SET UP AND, WITHIN A WEEK, SINGLE CRYSTALS TYPICALLY MEASURING 0.5 X 0.4 X 0.3 MM WERE OBTAINED IN MOST OF THE DROPS. CRYSTALLISATION TOOK PLACE AT A TEMPERATURE OF 18 - 20 C., drops under paraffin oil, temperature 291K"
"1BWJ","CRYSTALLISATION TOOK PLACE IN THE EUROPEAN SPACE AGENCY (ESA) ADVANCED PROTEIN CRYSTALLISATION FACILITY (APCF) ONBOARD THE NASA SPACE SHUTTLE'S LIFE AND MICROGRAVITY SPACELAB (LMS) MISSION (STS-78). A SOLUTION OF 21 MG OF HEN EGG WHITE LYSOZYME (3 X CRYSTALLIZED, DIALYSED AND LYOPHILIZED POWDER OF CHICKEN EGG WHITE LYSOZYME SUPPLIED BY SIGMA, L-6876 BATCH NUMBER, LOT 53H7145) DISSOLVED IN 250 UL 0.04 M ACETATE BUFFER (PH 4.7) WAS USED TO FILL THE PROTEIN CHAMBER (188 UL). THE SALT CHAMBERS (541 UL) WERE FILLED WITH 1.35 M NACL AND THE BUFFER CHAMBER (59 UL) WITH 0.04 M ACETATE BUFFER (PH 4.7). SODIUM AZIDE WAS ALSO ADDED TO THE PROTEIN AND BUFFER SOLUTION AS AN ANTI-FUNGAL AGENT (1.92 MG PER 188 UL). CRYSTALLISATION TOOK PLACE AT 20+/-0.1 C., microgravity experiment, temperature 293K"
"1C08","HEPES, PEG6000, MPD, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1C10","SODIUM CHLORIDE, PH = 5.5"
"1DPW","2-METHYL-2,4-PENTANEDIOL, TRISHYDROXYMETHYLAMINOMETHANE, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1DPX","SODIUM ACETATE, SODIUM CHLORIDE, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1DQJ","PEG 4K, Ammonium acetate, sodium acetate, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1F0W","pH 6.5"
"1F10","pH 6.5"
"1F3J","pH 4.4"
"1FDL"
"1FLQ","sodium chloride, sodium acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 295K"
"1FLU","sodium chloride, sodium acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 295K"
"1FLW","sodium chloride, sodium acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 295K"
"1FLY","sodium chloride, sodium acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 295K"
"1FN5","sodium chloride, sodium acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 295K"
"1G7H","15-18% poly(ethylene glycol) 8000; 0.1 M potassium phosphate, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1G7I","15-18%poly(ethylene glycol) 8000; 0.1 M potassium phosphate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1G7J","15-18% poly(ethylene glycol) 8000; 0.1 M potassium phosphate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1G7L","15-18% poly(ethylene glycol) 8000; 0.1 M potassium phosphate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1G7M","14% poly(ethylene glycol) 8000; 0.1 M sodium acetate; 0.05 M sodium cacodylate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1GPQ","15% PEG 4000, 5% GLYCEROL, CHES BUFFER 0.1M PH 9.0, PROTEIN CONCENTRATION: 5MG.ML-1"
"1GWD","2M NACL, 0.025M SODIUM ACETATE AT PH4.7,0.1% SODIUM AZIDE, 25% ETHYLENE GLYCOL AND THEN SOAKED IN AN EQUIVALENT SOLUTION WITH 50MM KI/50MM I2., pH 4.70"
"1H6M","CRYSTALS OF THE HEWL COVALENT INTERMEDIATE WERE GROWN BY THE HANGING-DROPLET VAPOUR DIFFUSION METHOD OVER 4 DAYS AT 16 C. THE DROPLET CONTAINED 2.5 UL OF A SOLUTION OF 7.5 MG/ML HEWL(E35Q), 20 MM NAG2FGLCF, 200 MM SODIUM ACETATE (NAOAC) BUFFER PH 5.0 AND 2.5 UL OF RESERVOIR SOLUTION (200MM) NAOAC, CONTAINING 4.0 % NACL (W/V), PH 4.5 WAS SUSPENDED OVER THE RESERVOIR SOLUTION."
"1H87","NACL 0.8 M, SODIUM ACETATE 50 MM, PH4.5, GD-HP-DO3A 100MM, [PROT]=40 MG/ML, 293 K, pH 4.50"
"1HC0","SOAKED AT PERIODATE, pH 4.50"
"1HEL"
"1HEM"
"1HEN"
"1HEO"
"1HEP"
"1HEQ"
"1HER"
"1HEW"
"1HF4","CRYSTALS OF NITRATE-LYSOZYME WERE GROWN UNDER A MICRO GRAVITY ENVIRONMENT DURING THE USML-2 MISSION LAUNCHED ON OCTOBER 1995 (SHUTTLE COLUMBIA). THE CRYSTALLIZATION SETUP WAS THE APCF DEVELOPPED BY EUROPEAN SPACE AGENCY. PROTEIN CONCENTRATION 10 MG/ML IN 50 MM SODIUM ACETATE BUFFER AT PH 4.5. GRADIENT CONCENTRATION APPLIED FROM 0 TO FINAL 290 MM AT 293K"
"1HSW","pH 9.6"
"1HSX","pH 9.6"
"1IC4","HEPES, MPD, PEG6000, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1IC5","HEPES, PEG6000, MPD, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1IC7","HEPES, PEG6000, MPD, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1IEE","CRYSTALLISATION TOOK PLACE IN            
THE EUROPEAN SPACE AGENCY (ESA) ADVANCED PROTEIN                    
CRYSTALLISATION FACILITY (APCF) ONBOARD THE NASA SPACE              
SHUTTLE'S STS-95 MISSION. A NEW APCF REACTOR WITH A LONG
PROTEIN CHAMBER (67 MM) WAS DESIGNED TO PERFORM
CRYSTALLIZATION USING THE COUNTER-DIFFUSION METHOD UNDER 
MICROGRAVITY CONDITIONS. THE PROTEIN CHAMBER WAS FILLED             
WITH A SOLUTION OF 99 MG/ML OF HEN EGG WHITE LYSOZYME 
(SUPPLIED BY SEIKAGAKU, BATCH NUMBER 100940, LOT E96302)
DISSOLVED IN 0.05 M ACETATE BUFFER (PH 4.5). THE SALT               
CHAMBER CONTAINED 20% W/V NACL AND 0.05 M ACETATE BUFFER
(PH 4.5). THE ROTATORY PLUG CONNECTING THE PROTEIN AND
THE SALT CHAMBERS WAS FILLED WITH 10% W/V NACL, 0.5% W/V 
AGAROSE GEL AND 0.05 M ACETATE BUFFER. CRYSTALLISATION
TOOK PLACE IN MICROGRAVITY AT 20+/-0.1 C., Counter-Diffusion in modified APCF reactors, temperature 293K"
"1IOQ","NaCl, Na-acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 296K"
"1IOR","NaCl, Na-acetete, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 296K"
"1IOS","NaCl, Na-acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 296K"
"1IOT","NaCl, Na-acetete, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 296K"
"1IR7","NaCl, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 296K"
"1IR8","NaCl, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 296K"
"1IR9","NaCl, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 296K"
"1J1O","PEG 6000, Hepes, glycerol, methyl-pentanediol, pH 7.6, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K"
"1J1P","PEG 6000, Hepes, glycerol, methyl-pentanediol, pH 7.6, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K"
"1J1X","PEG 6000, Hepes, glycerol, methyl-pentanediol, pH 7.6, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K"
"1JIS","Na-acetate buffer, pH 4.6, 10% NaCl, LIQUID DIFFUSION at 293K"
"1JIT","Na-acetate buffer, pH 4.6, 10% NaCl, 30% trehalose, LIQUID DIFFUSION at 293K"
"1JIY","Na-acetate buffer, pH 4.6, 10% NaCl, 20% sorbitol, LIQUID DIFFUSION at 293K"
"1JJ0","Na-acetate buffer, pH 4.6, 10% NaCl, 30% sucrose, LIQUID DIFFUSION at 293K"
"1JJ1","Na-acetate buffer, pH 4.6, 10% NaCl, 5% sorbitol, LIQUID DIFFUSION at 293K"
"1JJ3","Na-acetate buffer, pH 4.6, 10% NaCl, LIQUID DIFFUSION at 293K"
"1JPO"
"1JTO","PEG 8000, potassium phosphate, , pH 6.4, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"1JTT","2M NaFormate, 100mM Na Citrate, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"1KIP","FREE TEXT GOES HERE."
"1KIQ"
"1KIR"
"1KXW","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1KXX","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1KXY","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1LCN","KSCN 190MM BUFFER CH3COOK 50MM, PH=5, pH 5.0"
"1LJ3","Sodium Acetate (0.1M) Buffer, Sodium Nitrate (0.44M) Precipitant, pH 4.6, 
LIQUID DIFFUSION at 298K"
"1LJ4","Sodium Acetate (0.1M) Buffer, Sodium Nitrate (0.44M) Precipitant, pH 4.6, 
LIQUID DIFFUSION at 293K"
"1LJE","Sodium Acetate (0.1M) - Buffer, Sodium Nitrate (0.44M) - Precipitant, 
Sucrose (0.29M) - Additive, pH 4.6, LIQUID DIFFUSION at 298K, temperature 293K"
"1LJF","Sodium Acetate (0.1M) - Buffer, Sodium Nitrate (0.44M) - Precipitant, 
Sucrose (0.29M) - Additive; pH 4.6, LIQUID DIFFUSION at 293K"
"1LJG","Sodium Acetate(0.1M)-Buffer, Sodium Nitrate (0.44M)-Precipitant, 
glycerol(0.54M) - Additive; pH 4.6, LIQUID DIFFUSION at 293K"
"1LJH","Sodium Acetate(0.1M)-Buffer, Sodium Nitrate (0.44M)-Precipitant, glycerol(0.54M) - Additive, pH 4.6, LIQUID DIFFUSION at 293K"
"1LJI","Sodium Acetate (0.1M) Buffer, Sodium Nitrate (0.44M) Precipitant, pH 4.6, 
LIQUID DIFFUSION at 293K"
"1LJJ","Sodium Acetate (0.1M) - Buffer, Sodium Nitrate (0.44M) - 
Precipitant, Trehalose(0.29M) - Additive; pH 4.6, 
LIQUID DIFFUSION at 293K"
"1LJK","Sodium Acetate(0.1M)-Buffer, Sodium Nitrate (0.44M)-Precipitant, 
Trehalose(0.44M) - Additive, pH 4.6, LIQUID DIFFUSION at 293K"
"1LKR","1% PROTEIN, 200 MMOLAR ACETATE BUFFER, PH 8, 5% SODIUM IODIDE, pH 8.0"
"1LKS","THE CRYSTALS WERE GROWN IN THE PRESENCE OF BROMO PHENYL BLUE (BPB), AND THE CRYSTALS WERE DARK BLUE, ALMOST BLACK. HOWEVER, NO RELIABLE TRACE OF THE BPB WAS FOUND."
"1LMA"
"1LPI","PROTEIN WAS CRYSTALLIZED FROM 2% NANO3, IN A 100 MM SODIUM ACETATE BUFFER, PH 4.6; THE PROTEIN STOCK SOLUTION CONTAINED 20 MG/ML"
"1LSA"
"1LSB"
"1LSC"
"1LSD"
"1LSE"
"1LSF"
"1LSG"
"1LSM"
"1LSN"
"1LSY"
"1LSZ"
"1LYO","PROTEIN WAS CRYSTALLIZED FROM SODIUM ACETATE BUFFER (PH 4.3) CONTAINING 6.0% (W/V) SODIUM CHLORIDE"
"1LYS"
"1LYZ"
"1LZ8","BATCH METHOD. 20 MG/ML PROTEIN SOLUTION IN 50MM SODIUM ACETATE PH 4.6 AND 10% 
NACL. CRYSTALS GROWN AT ROOM TEMPERATURE."
"1LZ9","CRYSTALLIZED IN HANGING DROPS. 15 MG/ML PROTEIN SOLUTION IN 100 MM SODIUM 
ACETATE PH 4.6 AND 1 M SODIUM BROMIDE."
"1LZA"
"1LZB"
"1LZC"
"1LZD"
"1LZE"
"1LZG"
"1LZH"
"1LZT"
"1MEL","HANGING DROP, pH 6.4, vapor diffusion - hanging drop"
"1MLC"
"1N4F","250 mM sodium para-arsanilate then transferred to equivalent solution plus 15% V/V ethyleneglycol, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 291K"
"1NBY","PEG 4000, AMMONIUM ACETATE, SODIUM ACETATE, pH 4.60, VAPOR DIFFUSION, HANGING DROP"
"1NBZ","PEG 4000, AMMONIUM ACETATE, SODIUM ACETATE, pH 4.60, VAPOR DIFFUSION, HANGING DROP"
"1NDG","VAPOR DIFFUSION, HANGING DROP"
"1NDM","VAPOR DIFFUSION, HANGING DROP"
"1P2C","PEG 1000, CaCl2, pH 4.6, vapor diffusion, temperature 298.K"
"1PS5","2 M Lithium Sulfate, 8% MPD , pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 313K"
"1QIO","CRYSTALLIZED FROM 2-6% NACL, 0.2 M SODIUM ACETATE PH 4.7."
"1QTK","Sodium chloride , pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 290.0K"
"1RCM"
"1RFP","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1RI8","PEG 4000, lithium sulphate, Tris-HCl, glycerol, sodium chloride, potassium phosphate, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1RJC","PEG 8000, glycerol, ammonium sulphate, potassium phosphate, sodium chloride, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1SQ2","15% PEG 10,000, 0.1M imidazole HCl, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 295.0K"
"1T3P","NaCl, Na acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"1T6V","15% PEG 10,000, 0.1M imidazole malate, pH 6.0, VAPOR DIFFUSION, SITTING DROP, temperature 295K"
"1UA6","PEG 8000, ETHYLENE GLYCOL, HEPES, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K"
"1UC0","sodium acetate, sodium chloride, pH 4.5, VAPOR DIFFUSION, SITTING DROP, temperature 298.0K"
"1UCO"
"1UIA","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1UIB","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1UIC","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1UID","50 MM ACETATE AT PH 4.7 CONTAINING 1.8 M NACL"
"1UIE","50 MM ACETATE AT PH4.7 CONTAINING 0.9 M NACL"
"1UIF","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1UIG","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1UIH","50 MM ACETATE AT PH 4.7 CONTAINING 0.9 M NACL"
"1UUZ","20% POLYETHYLENEGLYCOL 4000, IMIDAZOLE/MALATE 0.2M PH 6.0, 5% GLYCEROL"
"1V7S","sodium nitrate, sodium acetate, pH 4.5, EVAPORATION, RECRYSTALLIZATION, temperature 313K"
"1V7T","sodium nitrate, sodium acetate, pH 4.5, phase transition, temperature 313K"
"1VAT","50mg/ml HEWL, 20%(w/v) PEG4000, 100mM sodium citrate (pH 5.5), 100mM sodium iodide, and 20%(v/v) glycerol, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"1VAU","50mg/ml HEWL, 1.8M NaCl, 100mM sodium citrate (pH 4.5), 30%(v/v) glycerol, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"1VDP"
"1VDQ","batch method"
"1VDS"
"1VDT"
"1VED"
"1VFB"
"1W6Z","HANGING DROP METHOD, 0.3M HOCL3, 0.9M NACL, 0.05M SODIUM ACETATE PH4.5, pH 4.50"
"1WTM","NaCl, sodium acetate, pH 4.5, in the Earth's magnetic field, temperature 313K"
"1WTN","NaCl, sodium acetate, pH 4.5, under a High Magnetic Field of 10T, temperature 313K"
"1XEI","pH 4.6"
"1XEJ","pH 4.6"
"1XEK","pH 4.6"
"1XFP","Sodium Formate, sodium-HEPES, sodium phosphate, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1XGP"
"1XGQ"
"1XGR"
"1XGT"
"1XGU"
"1YIK","Acetate buffer, NaCl, pH 4.5, VAPOR DIFFUSION, temperature 277K"
"1YIL","Acetate buffer, NaCl , pH 4.5, VAPOR DIFFUSION, temperature 277K"
"1YKX","sodium chloride, sodium acetate buffer, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1YKY","sodium chloride and sodium acetate buffer, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1YKZ","sodium choride, sodium acetate buffer, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1YL0","sodium chloride, sodium acetate buffer, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1YL1","sodium chloride, sodium acetate bufferbuffer, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"1YQV"
"1Z55","sodium chloride, sodium acetate, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K"
"1ZMY","NaCl, Hepes, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1ZV5","Ammonium sulphate, PEG 400, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1ZVH","Ammonium Sulphate, PEG 8000, glycerol, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"1ZVY","magnesium acetate, sodium cacodylate, PEG 8000, glycerol, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"2A7D"
"2A7F"
"2AUB"
"2B5Z","Magnesium Sulfate, pH 6.9, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"2BLX","30 % PEG 5000 MME,1 M SODIUM CHLORIDE, 50 MM PH 4.5 SODIUM ACETATE"
"2BLY","30 % PEG 5000 MME, 1 M SODIUM CHLORIDE,5 0 MM PH 4.5 SODIUM ACETATE"
"2BPU","pH 4.50"
"2C8O","pH 4.50"
"2C8P","pH 4.50"
"2CDS","pH 7"
"2CGI","pH 4.50"
"2D4I","1% protein, 2% sodium nitrate, D2O solution with pD 4.5 adjusted with 1M acetic acid, batch method, temperature 298K"
"2D4J","The crystal was created by the dehydration-induced phase transition of a monoclinic crystal obtained from a heavy water solution at pD 4.5, temperature 293K"
"2D4K","2% protein, 10% sodium chloride, 5% 1-propanol, pH 7.6, batch method, temperature 313K"
"2D6B","pH 4.8, VAPOR DIFFUSION, temperature 273K"
"2D91","2.0M NaCl, 0.1M Na acetate, 30% (v/v) glycerol, pH 4.3, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"2DQC","HEPES, MPD, PEG6000, pH 7.50, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2DQD","HEPES, MPD, PEG6000, pH 7.50, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2DQE","HEPES, MPD, PEG6000, pH 7.50, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2DQF","AMMONIUM SULFATE, PEG4000, SODIUM ACETATE, pH 4.60, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2DQG","HEPES, MPD, PEG6000, pH 7.50, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2DQH","HEPES, MPD, PEG6000, pH 7.50, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2DQI","HEPES, MPD, PEG6000, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2DQJ","HEPES, MPD, PEG6000, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2EIZ","28-31% PEGMME 550, 0.01M zinc sulfate, 0.1M MES, pH 6.4, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K"
"2EKS","28-31% PEGMME 550, 0.01M zinc sulfate, 0.1M MES, pH 6.4, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K"
"2EPE","0.04m NAOAC/HOAC buffer, pH 4.7, capillary method, temperature 298.0K"
"2F2N","sodium nitrate, pH 6, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"2F30","sodium nitrate as crystallizing agent 
cross-linked by vapor diffusion with glutaraldehyde, pH 6, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"2F4A","SODIUM NITRATE AS CRYSTALLIZING AGENT CROSS-LINKED BY VAPOR DIFFUSION WITH GLUTARALDEHYDE, 
PROTIEN CONCENTRATION 20 MG/ML, pH 6.00, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"2F4G","SODIUM NITRATE AS CRYSTALLIZING AGENT CROSS-LINKED BY VAPOR DIFFUSION WITH GLUTARALDEHYDE, PROTEIN 20 MG/ML, pH 6.00, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"2FBB","10% aqu. acetone solution saturated with sodium nitrate, 25mg/ml lysozyme, pH 8.4, batch, temperature 293.0K, pH 8.40"
"2G4P"
"2G4Q"
"2H9J","Acetate buffer, NaCl , pH 4.5, VAPOR DIFFUSION, temperature 277K, temperature 277.0K"
"2H9K","Acetate buffer, NaCl, pH 4.5, VAPOR DIFFUSION, temperature 277K, VAPOR DIFFUSION, HANGING DROP, temperature 277.0K"
"2HTX","0.1M Sodium Acetate, 7% NaCl, 25% Ethylene glycol, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 291K"
"2HU1","0.1M Sodium Acetate pH 4.8, 7% NaCl, 25% Ethylene glycol, VAPOR DIFFUSION, HANGING DROP, temperature 291K"
"2HU3","0.1M Na Acetate, pH 4.8, 7% NaCl, 25% ethylene glycol, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"2HUB","0.1 M HEPES-Na pH 7.5, 0.8M Potassium Sodium Tartrate tetrahydrate, Microbatch, Douglas Instrument robot, temperature 293K"
"2I25","38% PEG 400, 0.1M Tris, pH 8.3, VAPOR DIFFUSION, SITTING DROP, temperature 295K"
"2I26","11% PEG 4000, 1.8M ammonium sulfate, 0.1M BES, pH 7.8, VAPOR DIFFUSION, SITTING DROP, temperature 295K"
"2I6Z","5 mM sodium acetate buffer, pH 6.5 and 0.05 M NaCl, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"2IFF"
"2LYM"
"2LYO","PROTEIN WAS CRYSTALLIZED FROM SODIUM ACETATE BUFFER (PH 4.3) CONTAINING 6.0% (W/V) SODIUM CHLORIDE"
"2LYZ"
"2LZH"
"2LZT"
"2PC2","0.3M NaCl, 0.1M MES, pH 5.1, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"2Q0M","0.9 M NaCl, 50 mM sodium acetate, pH 4.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"2VB1","SITTING DROP METHOD. PROTEIN SOLUTION: 35 MG/ML HEWL, 0.02 M NA ACETATE BUFFER PH 4.7 WELL SOLUTION: 1 M NANO3, 0.1 M NA ACETATE BUFFER PH 4.7, 20 % ETHYLENE GLYCOL PROTEIN AND WELL SOLUTIONS MIXED 1:1 IN A DROP AND SEEDED"
